Name,Month,Income from Work,Bills,Food,Taxes,Transport Expenses,Other Expenses,Savings
Jordan,2023-05,3000.0,242.95,428.51,540.0,213.16,455.19,1120.19
Jordan,2023-06,3000.0,224.77,510.92,540.0,129.03,174.3,1420.98
Jordan,2023-07,3000.0,193.58,364.93,540.0,284.99,370.64,1245.86
Jordan,2023-08,3000.0,302.6,373.11,540.0,124.65,314.73,1344.91
Jordan,2023-09,3000.0,260.95,372.23,540.0,261.99,504.79,1060.04
Jordan,2023-10,3000.0,295.9,462.37,540.0,154.1,336.34,1211.29
Jordan,2023-11,3210.0,268.47,376.24,577.8,263.09,406.54,1317.86
Jordan,2023-12,3210.0,268.52,452.99,577.8,317.52,255.68,1337.49
Jordan,2024-01,3210.0,275.75,382.67,577.8,231.04,356.26,1386.48
Jordan,2024-02,3210.0,314.01,383.64,577.8,187.73,351.46,1395.36
Jordan,2024-03,3210.0,278.47,308.48,577.8,224.36,272.86,1548.03
Jordan,2024-04,3210.0,225.58,398.72,577.8,228.12,143.06,1636.72
Jordan,2024-05,3210.0,246.53,407.16,577.8,140.07,174.07,1664.37
Jordan,2024-06,3210.0,258.88,380.04,577.8,143.68,358.29,1491.31
Jordan,2024-07,3466.8,245.65,365.13,624.02,363.22,198.03,1670.75
Jordan,2024-08,3466.8,275.19,406.4,624.02,222.83,229.05,1709.31
Jordan,2024-09,3466.8,208.95,321.66,624.02,209.73,339.54,1762.9
Jordan,2024-10,3466.8,262.1,449.77,624.02,133.2,179.11,1818.6
Jordan,2024-11,3466.8,256.5,283.13,624.02,291.03,318.15,1693.97
Jordan,2024-12,3466.8,254.02,346.16,624.02,115.37,268.23,1859.0
Jordan,2025-01,3466.8,314.27,417.25,624.02,256.23,424.0,1431.03
Jordan,2025-02,3674.81,264.09,452.04,661.47,94.07,285.74,1917.4
Jordan,2025-03,3674.81,276.69,375.29,661.47,191.93,407.11,1762.32
Jordan,2025-04,3674.81,251.03,374.14,661.47,143.15,202.61,2042.41
